,AccessControl,Direction,DoorType,FingerProtection,Fire,KickPlate,Leaf,Lock,Mid-rail,Mid‐rail,PowerCloserDelay,PullOrLever,Set ref,SetDetails,SlaveLeafBolted,Swing,TypicalUses,Xray
133,0,0,0,FP,0,1 side,1.5,Lock,0,0,0,Lever,17bFP,As LSL,Flush,Single,0,0
134,0,0,0,0,Fire,0,1.5,Lock,0,0,Delay,Pull,17c,As LSL minus kickplates,Flush,Single,Disposal Hold (half-height pvc),0
135,0,0,0,0,Fire,1 side,1.5,Lock,0,1 side,Delay,Pull,17e,"New set - As LSL 17c but SSS kickplates changed to PVC plus 1no 900x200 PVC midplate, 400x200
PVC midplate",Flush,Single,0,0
136,0,0,0,0,0,1 side,1.5,0,0,1 side,0,Lever,17f,"New set - As LSL 01 plus 1no 900x200 SSS midplate, 1no 400x200 SSS midplate",Flush,Single,Assessment trolley,0
137,0,0,0,0,0,0,1.5,Lock,0,0,0,Lever,17g,New set - As LSL 17b minus kickplates,Flush,Single,(pvc-wrapped),0
138,0,0,0,0,Fire,1 side,1.5,0,0,0,HO closer,Pull,17h,Not Required,Flush,Single,0,0
139,0,0,0,0,Fire,1 side,1.5,Lock,0,0,2 Delay,Pull,17j,New set - As LSL 17c but SSS kickplates changed to PVC plus additional delayed action closer,Flush,Single,Restaurant kitchen (escape),0
140,0,0,0,0,Fire,1 side,1.5,0,0,0,Delay,Pull,17k,"New set - as LSL 17c minus lockcase, cylinder and escutcheons",Flush,Single,Cleaners lobby off street; NICU cots,0
141,0,0,0,0,0,1 side,1.5,0,0,0,Delay,Pull,18,"As LSL minus Fire door Keep Shut signs, Fire Door Keep Locked signs",Surface,Single,RAD,X-ray
142,0,0,0,0,Fire,1 side,1,Lock,0,0,Delay,Pull,19,Not required,0,Single,0,X-ray
143,0,0,0,FP,Fire,1 side,1,Lock,0,0,Delay,Pull,19FP,Not required,0,Single,0,X-ray
144,0,0,0,0,0,1 side,1,Lock,0,0,Delay,Pull,19a,New set - As LSL 19 minus Fire Door Keep shut signs,0,Single,0,X-ray
145,0,0,0,0,Fire,0,1,Lock,0,0,Delay,Pull,19b,"New set - As LSL 19FP minus kickplate, finger protector",0,Single,(pvc-wrapped),X-ray
146,0,0,0,0,0,0,1,Lock,0,0,Delay,Pull,19c,New set - As 19b minus Fire Door Keep Shut signs,0,Single,(pvc-wrapped),X-ray
147,0,0,0,0,0,0,1,Lock,0,0,Delay,Pull,19c+,New set - as 19c but closer power upgraded to 2/6,0,Single,(pvc-wrapped),X-ray
148,0,0,0,0,0,0,2,Lock,0,0,RS Springs,0,20a,As LSL minus kickplates,Flush,Double,(pvc-wrapped),0
149,0,0,0,0,0,1 side,2,0,0,0,2 Closers,2 Pulls,21,Not Required,0,Single,0,0
150,0,0,0,0,0,1 side,2,0,0,0,2 Delay,2 Pulls,21DA,New set - As LSL 21 but closer changed to delayed action type,0,Single,0,0
151,0,0,0,0,0,1 side,2,0,0,0,2 Delay,2 Pulls,21*DA,New set - as 21DA but SSS kickplates changed to PVC,0,Single,0,0
152,0,0,0,0,0,0,2,0,0,0,2 Delay,4 Pulls,21DAGLA,Not required,0,Single,Glazed doors in glazed screens in Critical Care,0
153,0,0,0,FP,0,1 side,2,0,0,0,2 Closers,2 Pulls,21FP,As LSL,0,Single,0,0
154,0,0,0,0,Fire,1 side,2,0,0,0,2 Closers,2 Pulls,21a,As LSL,0,Single,0,0
155,0,0,0,0,Fire,0,2,0,0,0,2 Closers,4 Pulls,21aGLA,Not Required,0,Single,0,0
156,0,0,0,FP,Fire,1 side,2,0,0,0,2 Closers,2 Pulls,21aFP,Not required,0,Single,0,0
157,0,0,0,0,Fire,1 side,2,0,0,0,2 Delay,2 Pulls,21aDA,As LSL,0,Single,0,0
158,0,0,0,0,0,1 side,2,0,0,1 side,2 Delay,2 Pulls,21bDA,As LSL but SSS kickplates changed to PVC plus 900x200 PVC midplates,0,Single,0,0
159,0,0,0,0,0,1 side,2,0,0,1 side,2 Closers,2 Pulls,21b,Not required,0,Single,0,0
160,0,0,0,FP,0,1 side,2,0,0,0,2 Closers,2 Pulls,21bFP,Not required,0,Single,0,0
161,0,0,0,FP,0,1 side,2,0,0,0,2 Delay,2 Pulls,21bFPDA,Not required,0,Single,0,0
162,0,0,0,0,Fire,1 side,2,Lock,0,0,2 Closers,2 Pulls,21c,Not required,0,Single,0,0
163,0,0,0,0,Fire,1 side,2,Lock,0,0,2 Delay,2 Pulls,21cDA,New set - As LSL 21c but closer changed to delayed action type and SSS kickplates changed to PVC,0,Single,0,0
164,0,0,0,0,Fire,0,2,0,0,0,2 Delay,2 Pulls,21dDA,New set - As LSL 21aDA minus kickplates,0,Single,(pvc-wrapped),0
165,0,0,0,0,Fire,0,2,Lock,0,0,2 Delay,2 Pulls,21eDA,New set - As 21c but closer changed to delayed action type minus kickplates,0,Single,(pvc-wrapped),0
166,0,0,0,0,0,0,2,0,0,0,2 Delay,2 Pulls,21fDA,New set - As 21DA minus kickplates,0,Single,(pvc-wrapped or half-height pvc),0
167,0,0,0,0,Fire,1 side,2,0,0,1 side,2 Delay,2 Pulls,21gDA,New set - As LSL 21aDA but SSS kickplates changed to PVC plus 2no 900x200 PVC midplates,0,Single,0,0
168,0,0,0,0,Fire,2 sides,2,0,0,0,RS Springs,0,22,As LSL but floor springs changed to reduced speed type,0,Double,0,0
169,0,0,0,FP,Fire,2 sides,2,0,0,0,RS Springs,0,22FP,As LSL but floor springs changed to reduced speed type & pvc kick plates in place of stainless steel,0,Double,0,0
170,0,0,0,0,0,2 sides,2,0,0,2 sides,RS Springs,0,22a,Not required,0,Double,0,0
171,0,0,0,FP,0,2 sides,2,0,0,0,RS Springs,0,22aFP,Not required,0,Double,0,0
172,0,0,0,0,0,2 sides,2,Lock,0,0,RS Springs,0,22b,As LSL but floor springs changed to reduced speed type,Flush,Double,0,0
173,0,0,0,0,0,2 sides,2,Lock,0,0,RS Springs,0,22b*,New set - as 22b but SSS kickplates changed to PVC,Flush,Double,0,0
174,0,0,0,FP,0,2 sides,2,Lock,0,0,RS Springs,0,22bFPDA,Not required,Flush,Double,0,0
175,0,0,0,0,Fire,0,2,0,0,0,RS Springs,0,22c,New set - As revised 22 minus kickplates,0,Double,(pvc-wrapped),0
176,0,0,0,0,Fire,2 sides,2,0,0,2 sides,RS Springs,0,22d,New set - As revised 22 but SSS kickplates changed to PVC plus 4no 900x200 PVC midplates,0,Double,0,0
177,0,0,0,0,0,0,2,0,0,0,RS Springs,0,22e,New set - As 22c minus Fire Door Keep Shut signs,0,Double,0,0
178,2 Solenoids,0,0,0,Fire,1 side,2,0,0,0,Power,2 Pulls,24a,As LSL,0,Single,0,0
179,2 Solenoids,0,0,0,Fire,1 side,2,0,0,1 side,Power,2 Pulls,24b,New set - As LSL 24a but SSS kickplates changed to PVC plus 2no 900x200 PVC midplates,0,Single,0,0
180,2 Solenoids,0,0,FP,Fire,0,2,0,0,0,Power,2 Pulls,24c,"New set - As LSL 24a minus kickplates, plus finger protection",0,Single,(half height pvc),0
181,0,0,0,0,0,1 side,2,Roller catch+Lock,0,0,0,2 Pulls,26a,Single cylinder replaced with cylinder & turn,Surface,Single,0,X-ray
182,0,0,0,0,Fire,1 side,2,Lock,0,0,2 Delay,2 Pulls,26b,As LSL,Surface,Single,0,X-ray
183,Solenoid,Double,0,0,0,2 sides,1,0,0,0,Spring,0,28,Not required,0,Double,0,0
184,0,0,0,0,0,2 sides,1.5,0,0,0,2 Closers,2 Pulls,29,Not required,Flush,Opposing,0,0
185,0,0,0,0,0,2 sides,1.5,0,0,0,2 Delay,2 Pulls,29DA,As LSL,Flush,Opposing,0,0
186,0,0,0,FP,0,2 sides,1.5,0,0,0,2 Delay,2 Pulls,29DAFP,As LSL. 29DA plus finger protection,Flush,Opposing,0,0
187,0,0,0,0,Fire,2 sides,1.5,0,0,0,2 Closers,2 Pulls,29a,Not required,Flush,Opposing,0,0
188,0,0,0,0,Fire,2 sides,1.5,0,0,0,2 Delay,2 Pulls,29aDA,As LSL,Flush,Opposing,0,0
189,0,0,0,FP,Fire,2 sides,1.5,0,0,0,2 Delay,2 Pulls,29aDAFP,New set - As LSL 29aDA plus finger protectors,Flush,Opposing,0,0
190,0,0,0,FP,Fire,2 sides,1.5,0,0,0,2 Closers,2 Pulls,29aFP,Not required,Flush,Opposing,0,0
191,0,0,0,0,0,2 sides,2,0,0,0,2 Delay,2 Pulls,29bDA,New set - As LSL 29DA but 900mm wide kickplate on both leaves,Flush,Opposing,0,0
192,0,0,0,0,0,1 side,1,Bathroom,0,0,0,Lever,30a,As LSL,0,Emergency release,WCs with emergency release,0
193,0,0,0,0,Fire,1 side,2,0,0,0,HO 180°,2 Pulls,31,AS LSL,0,Single 180°,Lift lobbies,0
194,Double Maglock,0,0,0,Fire,0,2,0,0,0,2 Delay,2 Pulls,31a,New set - As LSL 31 minus HO closers & kickplates; plus delay closers & double maglock,0,Single 180°,Bed lift lobby; 180° hinges; half height protection,0
195,0,0,0,FP,Fire,1 side,2,0,0,0,HO 180°,2 Pulls,31FP,Not required,0,Single,Lift lobby,0
196,0,0,0,0,Fire,1 side,1,Lock,0,0,Delay,Pull,32,Not required,0,Single,0,X-ray
197,Maglock,In,0,0,0,0,1,Lock,0,0,Closer,Pull,33,"As LSL plus lockcase, cylinder, escutcheons, minus kickplate",0,Single,(pvc-wrapped),0
198,Maglock,In,0,FP,0,1 side,1,Lock,0,0,Closer,Pull,33FP,Not Required,0,Single,0,0
199,Maglock,In,0,0,Fire,1 side,1,Lock,0,0,Closer,Pull,33a,As LSL,0,Single,0,0
200,Maglock,In,0,0,Fire,1 side,1,Lock,0,0,Closer,Pull,33a*,New set - as 33a but SSS kickplates changed to PVC,0,Single,0,0
201,Maglock,In,0,FP,Fire,1 side,1,Lock,0,0,Closer,Pull,33aFP,As LSL. 33a plus finger protection,0,Single,0,0
202,Maglock,In,0,0,Fire,1 side,1,0,0,0,Closer,Pull,33b,Not required,0,Single,0,0
203,Maglock,Out,0,FP,Fire,1 side,1,0,0,0,Closer,Pull,33bFP,Not required,0,Single,0,0
204,Maglock,In,0,0,0,1 side,1,Lock,0,0,Closer,Pull,33c,As LSL,0,Single,0,0
205,Maglock,Out,0,FP,0,1 side,1,Lock,0,0,Closer,Pull,33cFP,New set - As 33c plus finger protection,0,Single,0,0
206,Maglock,Out,0,0,0,1 side,1,Lock,0,0,Backcheck,Pull,33d,As LSL,0,Single,0,0
207,Maglock,Out,0,0,Fire,1 side,1,0,0,0,Closer,Pull,33e,As LSL,0,Single,0,0
208,Maglock,Out,0,0,0,1 side,1,Lock,0,0,Closer,Pull,33f,New set - As LSL 33d minus backcheck function,0,Single,0,0
209,Maglock,Out,0,0,Fire,1 side,1,Lock,0,0,Closer,Pull,33g,"New set - As LSL 33e plus lock, cylinder, escutcheons",0,Single,0,0
210,Maglock,Out,0,0,0,1 side,1,0,0,0,Closer,Pull,33h,New set - As LSL 33e but SSS kickplate changed to PVC minus Fire Door Keep Shut signs,0,Single,0,0
211,0,0,0,0,0,2 sides,1,Lock,0,0,Spring,0,35,Not required,0,Double,Plant,0
212,0,0,0,0,Fire,0,2,0,0,0,Delay,2 Pulls,40,Not required,0,Single,(half height pvc),0
213,0,0,0,0,Fire,1 side,2,0,0,0,Delay,2 Pulls,41,Not required,0,Single,0,0
214,0,0,0,0,0,1 side,2,Lock,0,0,0,Pull,42,"New set - Hinges, 1no bolt-through pull handle, 2no 900x400 SSS kickplates, 50 ida ID disc, 2no floor stops, 1no 500x75 SSS pushplate, lockcase, cylinder, escutcheons, 2no fliushbolts, floor socket, 2no
floor stops.",Flush,Single,Store; Linen,0
215,0,0,0,0,0,0,2,Lock,0,0,0,Pull,42a,New set - As 42a minus kickplates,Flush,Single,(pvc-wrapped) Store; Linen,0
216,0,0,0,0,Fire,1 side,1,0,0,0,Anti-ligature closure,A-L lever,43,"New set - Anti-ligature hinges, latch to suit, anti-ligature angled lever set, 1no 900x400 SSS kickplate,
1no floor stop, 1no ID disc, 2no Fire door Keep Shut signs. Add anti ligature closure",0,Single,Anti-ligature (A-L) requirement inc hinges,0
217,0,0,0,0,0,1 side,1,0,0,0,0,A-L lever,43a,"New set - As 43 minus Fire Door Keep shut signs, floor stop",0,Single,Anti-ligature (A-L) requirement inc hinges,0
218,Maglock,0,0,0,0,0,1,Lock,0,0,Delay,Pull,44,New set - As 19c plus maglock,0,Single,(pvc-wrapped)  For interlinked doors to shared preps,X-ray
219,0,0,0,0,Fire,0,1.5,Lock,0,0,0,Cylinder,45,"New set - deadlock case, double cylinder, 2no cylinder pulls, 2no flushbolts, dust excluding socket, 4no
bi-lingual Fire Door Keep Locks signs, 2no floor stops, ID dic",Flush,Single,MDE4005.D1,0
220,0,0,0,0,0,0,1,Lock,0,0,"90° hold open
restrictor",Cylinder,46,"New set - deadlock case, cylinder & thumbturn, 2no cylinder pulls, 90° hold open restrictor, Floor stop,
ID disc",0,Single,Level 4 Stairs 01 and 03,0
221,Electro‐mechanical,In,0,0,0,1 side,1,Lock,0,0,Closer,Lever,47,"New set as part of certified SR3 doorset - 6no hinges c/w 9no heavy duty steel dog bolts, specialist single point locking system with electromechanical locking, lever handle, emergency escape breakdome, closer, 400mm high SSS kickplate, floor stop, ID disc (swipe to enter + interlink to prevent
opening when Cat3 Lab door is open)",0,Single,Cat3 Lab Lobby,0
222,0,0,0,0,0,1 side,1,Panic Bar,0,0,Closer,0,48,"New set - 1.5pr hinges, 1no. overhead closer, 1no. panic bar, 1no. kickplate",0,Single,Escape from CAU HV rooms,0
223,0,0,0,0,0,1 side,2,Lock,0,0,0,Cylinder,49,"New set - Head track/sliding door gear, pivot set, 3no hinges,  2no pulls, hook lock, cylinder/turn,
flushbolt, floor socket, 2no. 450 x 400 SSS kickplates, 50 dia ID disc",Flush,Bi‐fold,Radiology RAD1021.D2,0
